label,sample_id,timestamp_ms,ax,ay,az,gx,gy,gz
wave_right,0,810776,1.0601,-0.356,0.6121,37.9466,3.5115,-57.5038
wave_right,0,810796,1.0688,-0.3823,0.6252,45.2137,9.6565,-62.855
wave_right,0,810816,1.0691,-0.2671,0.6138,51.8092,16.7786,-66.4809
wave_right,0,810836,1.0703,-0.1797,0.6187,52.8168,27.4427,-44.6412
wave_right,0,810856,1.0583,-0.228,0.6299,52.2061,33.9389,-26.5038
wave_right,0,810876,1.0056,-0.2939,0.6243,57.9542,39.0382,-34.8168
wave_right,0,810896,0.9719,-0.2952,0.5854,67.9695,46.3664,-51.3359
wave_right,0,810916,0.9536,-0.2336,0.5474,76.9237,59.6794,-74.5267
wave_right,0,810936,0.9182,-0.0459,0.5747,80.5802,68.2672,-69.8779
wave_right,0,810956,0.811,-0.074,0.6133,89.1298,62.2901,-56.5115
wave_right,0,810976,0.7881,-0.1658,0.5693,93.7176,58.1679,-65.9313
wave_right,0,810996,0.7769,-0.2747,0.5496,113.6412,60.1908,-100.8092
wave_right,0,811016,0.676,-0.0542,0.5396,131.5725,65.4962,-135.3588
wave_right,0,811036,0.614,0.1873,0.585,136.5343,55.2137,-118.7099
wave_right,0,811056,0.6311,0.1384,0.6201,133.916,41.6031,-99.9389
wave_right,0,811076,0.5815,0.0801,0.4487,139.2519,38.1527,-124.4046
wave_right,0,811096,0.5466,0.2058,0.4553,152.4962,43.3588,-152.8397
wave_right,0,811116,0.3772,0.4211,0.5186,170.771,51.1221,-168.5038
wave_right,0,811136,0.1951,0.6069,0.6052,169.6412,11.4885,-154.6641
wave_right,0,811156,0.1814,0.6382,0.4597,155.3664,-28.5573,-153.229
wave_right,0,811176,0.2498,0.8552,0.249,143.771,-36.8092,-156.1145
wave_right,0,811196,0.2097,1.062,0.2673,129.626,-32.6947,-122.0916
wave_right,0,811216,0.0122,1.1946,0.2993,104.2366,-60.6183,-100.6794
wave_right,0,811236,0.0522,1.1482,0.1775,75.1069,-99.5649,-95.6107
wave_right,0,811256,0.0947,1.322,0.1221,49.9924,-108.1832,-76.4962
wave_right,0,811276,0.0842,1.3047,0.0918,28.626,-117.4198,-52.4046
wave_right,0,811296,0.127,1.2131,0.1194,5.8244,-147.5343,-49.4962
wave_right,0,811316,0.2549,1.1729,0.0193,-9.4962,-162.2901,-59.0458
wave_right,0,811336,0.4028,1.1504,-0.0527,-23.0916,-153.0534,-42.3664
